Latitude,42.3851,Longitude,-71.0075
YEAR,MO,DY,T2M,PRECTOTCORR,PS
2022,9,1,19.64,0.0,100.38
2022,9,2,17.33,0.0,101.55
2022,9,3,19.09,0.03,101.55
2022,9,4,22.39,1.09,101.06
2022,9,5,20.37,50.12,101.14
2022,9,6,17.31,22.72,101.06
2022,9,7,17.2,1.35,100.86
2022,9,8,17.18,0.15,100.56
2022,9,9,19.13,0.13,100.91
2022,9,10,21.31,0.01,101.32
2022,9,11,21.21,1.22,101.01
2022,9,12,21.95,5.29,100.2
2022,9,13,21.01,5.65,99.91
2022,9,14,19.6,0.02,100.18
2022,9,15,15.39,0.0,101.01
2022,9,16,14.34,0.0,101.25
2022,9,17,14.59,0.02,101.5
2022,9,18,20.15,1.17,100.65
2022,9,19,18.4,3.92,100.36
2022,9,20,16.07,2.84,100.27
2022,9,21,16.87,0.37,100.34
2022,9,22,16.5,25.2,99.35
2022,9,23,11.3,0.03,100.09
2022,9,24,12.21,0.0,100.25
2022,9,25,14.54,1.05,99.8
2022,9,26,17.23,0.74,99.59
2022,9,27,15.73,0.12,100.11
2022,9,28,14.89,0.07,100.9
2022,9,29,12.89,0.0,101.8
2022,9,30,11.44,0.01,101.77
