Latitude,41.8145,Longitude,-87.6188
YEAR,MO,DY,T2M,PRECTOTCORR,PS
2022,9,1,23.16,0.01,99.49
2022,9,2,23.03,0.05,99.56
2022,9,3,22.75,3.21,99.7
2022,9,4,21.16,3.48,99.71
2022,9,5,20.08,1.33,99.71
2022,9,6,21.2,0.15,99.83
2022,9,7,21.09,0.01,99.83
2022,9,8,21.7,0.0,99.33
2022,9,9,21.3,0.0,99.23
2022,9,10,22.58,0.0,99.47
2022,9,11,19.45,44.42,99.0
2022,9,12,15.52,1.26,98.75
2022,9,13,19.54,0.18,99.1
2022,9,14,19.14,0.03,99.85
2022,9,15,20.76,0.0,100.01
2022,9,16,20.81,0.02,99.8
2022,9,17,22.03,0.04,99.46
2022,9,18,22.55,31.49,99.13
2022,9,19,20.36,20.6,99.35
2022,9,20,22.26,1.01,99.18
2022,9,21,22.02,1.28,98.98
2022,9,22,15.58,0.0,99.91
2022,9,23,15.56,0.33,100.02
2022,9,24,16.71,4.54,99.06
2022,9,25,16.8,3.75,98.59
2022,9,26,14.37,0.19,98.98
2022,9,27,13.06,0.41,99.75
2022,9,28,12.87,1.67,100.83
2022,9,29,13.44,0.0,100.88
2022,9,30,14.48,0.0,100.32
