Latitude,32.7436,Longitude,-96.8034
YEAR,MO,DY,T2M,PRECTOTCORR,PS
2022,9,1,25.12,69.19,99.42
2022,9,2,25.64,9.97,99.36
2022,9,3,26.56,2.21,99.62
2022,9,4,26.41,0.97,99.41
2022,9,5,25.9,2.07,99.31
2022,9,6,27.15,3.24,99.48
2022,9,7,27.24,0.69,99.48
2022,9,8,26.01,0.78,99.06
2022,9,9,24.71,0.1,98.88
2022,9,10,24.48,0.03,99.36
2022,9,11,23.56,0.04,99.89
2022,9,12,22.6,0.0,99.65
2022,9,13,23.43,0.0,99.38
2022,9,14,22.76,0.03,99.56
2022,9,15,22.89,0.06,99.67
2022,9,16,25.71,0.24,99.53
2022,9,17,27.41,2.13,99.42
2022,9,18,27.73,0.51,99.46
2022,9,19,27.73,0.33,99.49
2022,9,20,28.33,0.1,99.51
2022,9,21,28.21,0.04,99.44
2022,9,22,27.94,0.0,99.44
2022,9,23,27.68,0.0,99.45
2022,9,24,28.27,0.14,99.42
2022,9,25,28.26,0.65,99.36
2022,9,26,23.33,0.0,99.78
2022,9,27,23.66,0.0,99.93
2022,9,28,23.37,0.0,100.14
2022,9,29,20.73,0.0,100.08
2022,9,30,18.98,0.0,99.71
