Latitude,39.6841,Longitude,-104.9772
YEAR,MO,DY,T2M,PRECTOTCORR,PS
2022,9,1,20.58,0.0,79.49
2022,9,2,21.31,0.0,79.62
2022,9,3,19.27,0.0,80.03
2022,9,4,20.8,0.0,79.65
2022,9,5,22.16,0.0,79.51
2022,9,6,23.45,0.0,79.8
2022,9,7,22.7,0.0,79.86
2022,9,8,22.5,0.71,79.17
2022,9,9,15.38,5.2,79.09
2022,9,10,10.12,2.87,79.68
2022,9,11,13.77,0.0,79.79
2022,9,12,17.1,0.0,79.48
2022,9,13,17.3,0.68,79.1
2022,9,14,16.4,0.49,78.97
2022,9,15,14.72,2.57,79.2
2022,9,16,15.41,0.02,79.16
2022,9,17,16.07,0.21,78.99
2022,9,18,17.04,0.0,79.1
2022,9,19,19.26,0.0,79.24
2022,9,20,19.76,0.01,79.41
2022,9,21,12.58,1.52,79.68
2022,9,22,13.23,11.71,79.37
2022,9,23,14.6,0.0,79.34
2022,9,24,14.42,0.0,79.7
2022,9,25,13.37,0.0,79.95
2022,9,26,15.3,0.0,79.83
2022,9,27,15.12,10.61,79.91
2022,9,28,16.65,0.14,79.86
2022,9,29,16.35,0.56,79.56
2022,9,30,14.49,0.58,79.21
