Latitude,32.2897,Longitude,-90.1677
YEAR,MO,DY,T2M,PRECTOTCORR,PS
2022,9,1,24.8,0.0,100.27
2022,9,2,26.27,0.0,100.29
2022,9,3,25.79,2.78,100.45
2022,9,4,24.41,7.67,100.2
2022,9,5,24.87,4.83,100.24
2022,9,6,25.63,3.86,100.49
2022,9,7,24.76,4.34,100.29
2022,9,8,23.62,0.4,99.79
2022,9,9,22.92,8.24,99.71
2022,9,10,24.49,2.82,100.13
2022,9,11,24.97,5.64,100.39
2022,9,12,22.02,0.33,100.32
2022,9,13,20.52,0.0,100.33
2022,9,14,22.01,0.0,100.54
2022,9,15,22.74,0.01,100.66
2022,9,16,23.6,0.08,100.65
2022,9,17,23.48,0.03,100.61
2022,9,18,24.43,0.22,100.51
2022,9,19,25.43,0.15,100.46
2022,9,20,27.16,0.0,100.42
2022,9,21,27.46,0.0,100.26
2022,9,22,26.33,0.0,100.21
2022,9,23,21.86,0.0,100.49
2022,9,24,24.32,0.0,100.41
2022,9,25,25.98,1.65,100.1
2022,9,26,20.79,0.0,100.33
2022,9,27,17.01,0.0,100.73
2022,9,28,16.73,0.0,101.02
2022,9,29,14.48,0.0,100.88
2022,9,30,16.09,0.0,100.38
