Latitude,36.1137,Longitude,-115.2165
YEAR,MO,DY,T2M,PRECTOTCORR,PS
2022,9,1,33.63,0.0,92.67
2022,9,2,33.21,0.0,92.75
2022,9,3,33.12,0.01,93.03
2022,9,4,33.67,0.0,92.97
2022,9,5,34.01,0.0,92.8
2022,9,6,34.22,0.0,92.88
2022,9,7,33.4,0.04,93.14
2022,9,8,32.8,0.0,92.62
2022,9,9,28.62,4.75,92.43
2022,9,10,24.87,1.47,93.03
2022,9,11,28.26,0.03,93.23
2022,9,12,26.02,5.05,93.0
2022,9,13,26.56,1.61,92.56
2022,9,14,25.57,0.43,92.7
2022,9,15,26.04,0.01,92.77
2022,9,16,25.82,0.0,92.74
2022,9,17,25.83,0.0,92.32
2022,9,18,24.55,0.0,92.33
2022,9,19,25.4,0.0,92.56
2022,9,20,25.38,0.0,92.68
2022,9,21,25.08,0.0,92.7
2022,9,22,25.4,0.0,93.0
2022,9,23,25.19,0.0,93.16
2022,9,24,27.33,0.0,93.37
2022,9,25,27.23,0.0,93.31
2022,9,26,27.66,0.0,93.13
2022,9,27,28.83,0.0,93.1
2022,9,28,26.3,9.11,93.29
2022,9,29,28.02,0.0,93.07
2022,9,30,26.82,0.0,92.64
