Latitude,25.7729,Longitude,-80.1921
YEAR,MO,DY,T2M,PRECTOTCORR,PS
2022,9,1,29.27,7.04,101.47
2022,9,2,29.22,2.72,101.57
2022,9,3,29.58,0.75,101.6
2022,9,4,29.49,2.07,101.42
2022,9,5,29.7,3.05,101.46
2022,9,6,29.8,3.46,101.53
2022,9,7,29.43,6.79,101.24
2022,9,8,29.37,9.68,100.8
2022,9,9,29.87,4.96,101.0
2022,9,10,30.42,2.77,101.57
2022,9,11,29.9,3.01,101.73
2022,9,12,29.37,4.17,101.38
2022,9,13,29.4,5.16,101.26
2022,9,14,27.77,10.89,101.37
2022,9,15,28.43,13.08,101.6
2022,9,16,28.36,5.99,101.63
2022,9,17,28.15,10.06,101.57
2022,9,18,27.72,7.12,101.35
2022,9,19,28.65,9.88,101.24
2022,9,20,29.01,4.2,101.18
2022,9,21,28.79,2.49,101.0
2022,9,22,28.52,3.74,100.95
2022,9,23,29.15,0.18,101.22
2022,9,24,28.55,1.93,101.33
2022,9,25,29.18,2.52,101.15
2022,9,26,28.23,24.29,101.14
2022,9,27,27.81,42.4,100.99
2022,9,28,29.65,9.23,100.58
2022,9,29,27.37,6.38,100.54
2022,9,30,24.82,0.16,100.79
