Latitude,40.6579,Longitude,-73.9518
YEAR,MO,DY,T2M,PRECTOTCORR,PS
2022,9,1,24.17,0.0,101.26
2022,9,2,21.21,0.0,102.22
2022,9,3,22.62,0.01,102.27
2022,9,4,24.12,7.91,101.83
2022,9,5,24.29,12.86,101.67
2022,9,6,22.33,137.56,101.34
2022,9,7,21.43,2.93,101.34
2022,9,8,21.32,0.41,101.16
2022,9,9,21.02,0.01,101.66
2022,9,10,21.87,0.01,102.18
2022,9,11,22.01,7.68,101.78
2022,9,12,23.3,4.09,100.88
2022,9,13,23.57,3.61,100.61
2022,9,14,21.6,0.02,101.29
2022,9,15,19.74,0.01,101.91
2022,9,16,19.34,0.0,102.08
2022,9,17,20.08,0.0,102.23
2022,9,18,22.21,0.11,101.67
2022,9,19,22.75,2.52,101.11
2022,9,20,21.88,0.1,101.06
2022,9,21,21.07,0.01,101.15
2022,9,22,20.6,15.71,100.3
2022,9,23,14.62,0.01,101.21
2022,9,24,15.51,0.0,101.39
2022,9,25,19.0,1.48,100.58
2022,9,26,19.06,0.74,100.51
2022,9,27,18.28,0.0,101.02
2022,9,28,16.95,0.15,101.83
2022,9,29,16.3,0.0,102.53
2022,9,30,15.61,0.16,102.33
