Latitude,43.6541,Longitude,-79.6647
YEAR,MO,DY,T2M,PRECTOTCORR,PS
2022,9,1,20.01,0.0,100.44
2022,9,2,22.76,0.01,100.82
2022,9,3,23.59,0.99,100.71
2022,9,4,19.37,2.12,100.83
2022,9,5,19.81,15.2,100.65
2022,9,6,20.43,0.04,100.65
2022,9,7,20.76,0.03,100.54
2022,9,8,20.69,0.0,100.3
2022,9,9,21.37,0.0,100.48
2022,9,10,22.38,0.02,100.78
2022,9,11,21.26,0.21,100.44
2022,9,12,21.01,5.87,99.72
2022,9,13,19.21,1.18,99.76
2022,9,14,20.02,0.09,100.41
2022,9,15,16.3,0.0,101.25
2022,9,16,18.94,0.33,101.01
2022,9,17,20.64,0.19,100.82
2022,9,18,21.66,9.72,100.19
2022,9,19,21.28,3.72,99.84
2022,9,20,20.63,0.01,100.19
2022,9,21,21.47,0.59,99.63
2022,9,22,15.66,1.52,99.84
2022,9,23,13.18,0.0,100.87
2022,9,24,15.63,0.05,100.4
2022,9,25,16.37,15.04,99.03
2022,9,26,15.03,6.45,98.89
2022,9,27,14.9,18.41,99.66
2022,9,28,13.85,1.26,101.17
2022,9,29,13.26,0.0,101.92
2022,9,30,14.37,0.0,101.45
