Latitude,38.8335,Longitude,-76.9841
YEAR,MO,DY,T2M,PRECTOTCORR,PS
2022,9,1,24.79,0.0,100.74
2022,9,2,24.46,0.05,101.32
2022,9,3,24.69,0.1,101.44
2022,9,4,26.18,0.1,101.07
2022,9,5,25.89,2.82,100.87
2022,9,6,25.03,11.83,100.51
2022,9,7,22.14,9.7,100.55
2022,9,8,22.78,0.88,100.44
2022,9,9,22.8,0.0,100.88
2022,9,10,21.96,0.28,101.41
2022,9,11,23.96,7.97,100.85
2022,9,12,24.57,4.19,100.13
2022,9,13,22.57,1.54,100.15
2022,9,14,21.07,0.0,100.84
2022,9,15,21.15,0.02,101.28
2022,9,16,20.88,0.02,101.4
2022,9,17,21.73,0.0,101.43
2022,9,18,22.45,0.05,101.03
2022,9,19,24.44,1.11,100.55
2022,9,20,23.44,0.02,100.58
2022,9,21,23.34,0.07,100.5
2022,9,22,21.72,0.79,99.87
2022,9,23,15.32,0.0,100.88
2022,9,24,16.08,0.28,100.91
2022,9,25,19.9,0.43,99.87
2022,9,26,19.75,0.03,99.95
2022,9,27,17.34,0.01,100.52
2022,9,28,15.6,0.02,101.35
2022,9,29,16.07,0.0,101.82
2022,9,30,14.58,5.69,101.34
